,bi-corrs,RF-imps,RF-Shap,NN-Shap,LR-coefs
C,0.7519281712558021,0.11921643882101027,0.9027609413096179,0.19396313138194315,0.004424107663461183
A,0.620136526040994,0.008107551109852871,0.22394114424019626,0.2055812332987539,0.012131055882370853
K,0.604530064945566,0.0170399550808862,0.3516258411017947,1.1230955328621004,1.9937557719810481
X,0.9236899864426098,0.8376497680972624,1.7771004486538364,2.368073905116687,1.9534220507792006
F,0.9159174392338666,0.01798628689098824,0.23771026446102328,0.19659525161861507,0.012582961632128025
